Empresa,LN,CC,Proyecto, Enero del 2024 , Enero del 2025 ,Porcentaje Enero, Febrero del 2024 , Febrero del 2025 ,Porcentaje Febrero, Marzo del 2024 , Marzo del 2025 , Porcentaje Marzo , Abril del 2024 , Abril del 2025 , Porcentaje Abril , Mayo del 2024 , Mayo del 2025 ," Porcentaje Mayo	 ", Junio del 2024 , Junio del 2025 , Porcentaje Junio , Julio del 2024 , Julio del 2025 , Porcentaje Julio , Agosto del 2024 , Agosto del 2025 , Porcentaje Agosto , Septiembre del 2024 , Septiembre del 2025 , Porcentaje Septiembre , Octubre del 2024 , Octubre del 2025 , Porcentaje Octubre , Noviembre del 2024 , Noviembre del 2025 ," Porcentaje Noviembre	 ", Diciembre del 2024 , Diciembre del 2025 , Porcentaje Diciembre , Total 2024 , Total 2025 , Porcentaje Anual 
BUZZWORD,ART,50-08-42,Proyectos - Ethos Pay, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%
BUZZWORD,ART,50-10-43,Proyectos - Fundación Gonzalo Río Arronte," $12,000.00 "," $12,000.00 ",0.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 "," $12,000.00 ",0.00%," $12,000.00 "," $12,000.00 ",0.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $144,000.00 "," $36,000.00 ",-75.00%
BUZZWORD,ART,50-11-44,Proyectos - Global Payments Onboarding Digital, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%
BUZZWORD,ART,50-11-45,Proyectos - Global Payments UPAEP," $12,000.00 ", $-   ,-100.00%," $12,000.00 "," $12,000.00 ",0.00%," $12,000.00 ", $-   ,-100.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%," $144,000.00 ", $-   ,-100.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%," $12,000.00 ", $-   ,-100.00%, $-   , $-   ,0.00%," $216,000.00 "," $12,000.00 ",-94.44%
BUZZWORD,ART,50-11-85,Proyectos - Certificación de expedientes, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   ," $95,250.00 ",0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   ," $95,250.00 ",0.00%
BUZZWORD,ART,50-12-46,Proyectos - Grupo Armstrong," $187,487.00 ", $-   ,-100.00%," $187,487.00 ", $-   ,-100.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%," $300,000.00 ", $-   ,-100.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%," $674,974.00 ", $-   ,-100.00%
BUZZWORD,ART,50-13-47,Proyectos - HSBC e-commerce," $3,098.00 "," $2,066.00 ",-33.31%," $3,098.00 "," $2,066.00 ",-33.31%," $3,098.30 "," $2,066.00 ",-33.32%," $3,098.30 "," $2,065.52 ",-33.33%," $3,098.30 ", $-   ,-100.00%," $3,098.30 ", $-   ,-100.00%," $3,098.00 ", $-   ,-100.00%," $3,098.00 ", $-   ,-100.00%," $3,098.00 ", $-   ,-100.00%," $3,098.30 ", $-   ,-100.00%," $2,582.00 ", $-   ,-100.00%," $2,582.00 ", $-   ,-100.00%," $36,145.50 "," $8,263.52 ",-77.14%
BUZZWORD,ART,50-13-48,Proyectos - HSBC Viva, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%
BUZZWORD,FSW,50-16-56,Proyectos - Joyerías Dinasti," $69,999.00 ", $-   ,-100.00%," $63,635.00 ", $-   ,-100.00%," $63,635.20 ", $-   ,-100.00%," $53,294.00 ", $-   ,-100.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%, $-   , $-   ,0.00%," $250,563.20 ", $-   ,-100.00%
BUZZWORD,ART,50-17-57,Proyectos - Livercash," $299,195.00 ", $845.00 ,-99.72%," $51,285.00 ", $520.00 ,-98.99%," $248,950.00 "," $2,080.00 ",-99.16%," $265,590.00 "," $2,275.00 ",-99.14%," $25,220.00 ", $-   ,-100.00%," $25,220.00 ", $-   ,-100.00%," $4,030.00 ", $-   ,-100.00%," $4,550.00 ", $-   ,-100.00%," $4,550.00 ", $-   ,-100.00%," $4,550.00 ", $-   ,-100.00%," $3,316.00 ", $-   ,-100.00%," $2,600.00 ", $-   ,-100.00%," $939,056.00 "," $5,720.00 ",-99.39%
